project,tx_count,money_in_bnb,money_out_bnb,net_bnb,money_in_usd_then,money_out_usd_then,net_usd_then,money_in_usd_today_est,money_out_usd_today_est,net_usd_today_est
safuu,350,0.0,193.52423355,-193.52423355,0.0,125632.48,-125632.48,0.0,126026.85,-126026.85
unclassified,1226,128.52156578,194.34393801,-65.82237223,83439.27,126176.5,-42737.23,83695.81,126560.66,-42864.85
