tx_hash,project,confidence,evidence
0xb3eaeee7a16344cdf43c4c086ee1fdf0955b22c35fa75eb35be20251769b038e,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x3935f5e81c645b25bf587c7fbac0eb13f57e870444b2ed8faca5b2b3bad186dc,safuu,high,to_address:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | to:SafuuGO: SGO Token | to_friendly_tag_final:SafuuGO: SGO Token | tx_to:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x73b387feb1849cec7175e1410832c481f1503afaa112f35b1a3297c938410d25,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x5e1713a6a27a9c50a75f77ee1389e734dc8b724944ffb21e495c4ce08aa8de5b,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x7084e194ee1c85c154a7650028d201664722d309fcfdc87f6619c1560d808f7e,safuu,high,to_address:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | to:SafuuGO: SGO Token | to_friendly_tag_final:SafuuGO: SGO Token | tx_to:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0xba23762102ce9f4e2433a3d426b30e2a68e73096def04993d3720d1cfd68ef04,safuu,high,to_address:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | to:SafuuGO: SGO Token | to_friendly_tag_final:SafuuGO: SGO Token | tx_to:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x0c1d8aea955b04ca40ea7a95bac5bca972059a39739ebd424575229120248604,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0xf0c70a37540c6e557ab23d0dadac8e9892b71aff9652b05e995bf17a24708a65,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0xe198b08c1e61e044f30a39b5100bb1416bf64ea412b60b27c5596a6dfbb71dfb,safuu,high,to_address:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | to:SafuuGO: SGO Token | to_friendly_tag_final:SafuuGO: SGO Token | tx_to:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
0x4f340e2d7031c99cc1fd41c8f6ff26df6aa6fa40f2f22bdd389dc709c538f9ab,safuu,high,log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | log_addr:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SafuuGO: SGO Token | token_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | token_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_symbol:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO | contract_name:0x9321bc6185adc9b9cb503cc211e17cb311c3fa95:SGO
