project,tx_count,money_into_project_bnb,money_out_of_project_bnb,net_project_flow_bnb,money_into_project_usd_then,money_out_of_project_usd_then,net_project_flow_usd_then,money_into_project_usd_today,money_out_of_project_usd_today,net_project_flow_usd_today
safuu,350,193.52423355,0.0,193.52423355,125632.48,0.0,125632.48,127495.63,0.0,127495.63
unclassified,1226,194.34393801,128.52156578,65.82237223,126176.5,83439.27,42737.23,128035.71,84671.3,43364.41
