token_symbol,tx_count,money_into_token_bnb,money_out_of_token_bnb,net_token_flow_bnb,money_into_token_usd_then,money_out_of_token_usd_then,net_token_flow_usd_then,money_into_token_usd_today,money_out_of_token_usd_today,net_token_flow_usd_today
SAFUU,143,106.19802822,0.0,106.19802822,68945.36,0.0,68945.36,69964.32,0.0,69964.32
SGO,138,86.57620533,0.0,86.57620533,56200.03,0.0,56200.03,57037.27,0.0,57037.27
