tx_hash,datetime_utc,direction,matched_counterparty,value_bnb,usd_at_tx_time,usd_at_today_rate,from_addr,to_addr
0x3a4b132950e9d7b82d3f010853c0a266b898fbd670505d26a0e3750813e606f1,2022-05-13 2:08:03,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1.27,824.81,836.69,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x83e2d7a67183bb6cefcc2f05eb729facfac573fa445586a78bbb58dec96a46a4,2022-05-12 3:05:09,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,3.15,2045.80,2075.25,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x87bcf0ae01d127944832e93d0593436b3236b2dba5e640ed119fae323adaa205,2022-05-08 3:27:04,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.3,194.84,197.64,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x897f1ddb85b5da14175efba247641c010dbdc20375ee300a970bb967be237613,2022-05-06 22:38:43,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.13,84.39,85.65,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x4544b0164141757ca1de78b4fbeed61b7ac7d079d5fe68825ce0865cc54c89f5,2022-05-04 14:55:53,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1,649.14,658.81,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xa415a4ec6260914205b4591285e86eed62ca24f317e10dbc03283bb2a205a1ae,2022-05-04 14:54:02,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,3.87,2512.17,2549.59,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x9411c7167e91e13056ae84ba2e43dec4adc4d1d080a301c2c930c70b0afa71ed,2022-04-29 16:16:17,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.003,1.95,1.98,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xfa3bc42e0a158b2307d17817f8e807f71ab2ad80638737da13e464e635a353dd,2022-04-04 12:53:48,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,2.69,1746.18,1772.20,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x214597ddba2fbb3d23bfaabfa69072708b5d11386e55ead7d2a92023de2b2535,2022-04-01 4:08:40,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,2.87868401,1868.67,1896.51,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x848d826fdfc68587fbc978d07947fedef410cd74c4c0f682ee17a9e922e75694,2022-02-26 22:17:08,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.035072882,22.77,23.11,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x2f4536b32bc835ba0aa747aec8cd61b461a8a436c1a7797cf8ec87fbaca2c97f,2022-02-26 12:29:23,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.05,32.46,32.94,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x07be42e1c61ce88bbb627005d613705269f8b9a2fd9cae701dc40ea77f90af8a,2022-02-25 23:41:37,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.03,19.47,19.76,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
