source,term,found,new,error_events,events
eBay UK,pc no operating system,0,0,0,2
eBay UK,pc no os,0,0,0,2
eBay UK,pc no power supply,0,0,0,2
eBay UK,pc no psu,0,0,0,2
eBay UK,pc powers on no signal,0,0,0,2
eBay UK,pc powers up untested,0,0,0,2
eBay UK,pc quick sale,0,0,0,2
eBay UK,pc spares or repair,0,0,0,2
eBay UK,pc tower,0,0,0,2
eBay UK,pc tower no graphics,0,0,0,2
eBay UK,pc tower no storage,0,0,0,2
eBay UK,pc towre,0,0,0,2
eBay UK,pc untested,0,0,0,2
eBay UK,ryzen 5 3600 desktop,0,0,0,2
eBay UK,ryzen 5 desktop,0,0,0,2
eBay UK,ryzen 7 5800 desktop,0,0,0,2
eBay UK,ryzen 7 desktop,0,0,0,2
eBay UK,ryzen 9 desktop,0,0,0,2
eBay UK,son old pc,0,0,0,2
eBay UK,unused pc,0,0,0,2
eBay UK,workstation joblot,0,0,0,2
eBay UK,xeon desktop,0,0,0,2
eBay UK,xeon tower,0,0,0,2
eBay UK Auctions,office computers clearance,102,101,0,2
eBay UK Auctions,office pc lot,52,40,0,2
eBay UK Auctions,it clearance desktop,16,16,0,2
eBay UK Auctions,desktop pcs lot,12,12,0,2
eBay UK Auctions,bulk desktops,3,3,0,2
eBay UK Auctions,ex office pc lot,1,0,0,2
eBay UK Auctions,7700 motherboard bundle,0,0,0,2
eBay UK Auctions,7700x b650,0,0,0,2
eBay UK Auctions,7900 bundle,0,0,0,2
eBay UK Auctions,Dell OptiPlex,0,0,0,2
eBay UK Auctions,Dell Precision tower,0,0,0,2
eBay UK Auctions,HP EliteDesk,0,0,0,2
eBay UK Auctions,HP Z440,0,0,0,2
eBay UK Auctions,HP Z640,0,0,0,2
eBay UK Auctions,HP workstation,0,0,0,2
eBay UK Auctions,Lenovo ThinkCentre,0,0,0,2
eBay UK Auctions,am4 motherboard,0,0,0,2
eBay UK Auctions,am5 bundle,0,0,0,2
eBay UK Auctions,asus tuf b650,0,0,0,2
eBay UK Auctions,atx pc case,0,0,0,2
eBay UK Auctions,b650 tomahawk,0,0,0,2
eBay UK Auctions,ddr4 ram lot,0,0,0,2
eBay UK Auctions,ddr5 bundle,0,0,0,2
eBay UK Auctions,ddr5 ram lot,0,0,0,2
eBay UK Auctions,desktop pc,0,0,0,2
eBay UK Auctions,desktop untested,0,0,0,2
eBay UK Auctions,gaming pc,0,0,0,2
eBay UK Auctions,gaming pc faulty,0,0,0,2
eBay UK Auctions,gaming pc untested,0,0,0,2
eBay UK Auctions,gigabyte aorus elite b650,0,0,0,2
eBay UK Auctions,gtx 1660,0,0,0,2
eBay UK Auctions,i7 desktop,0,0,0,2
eBay UK Auctions,i7 tower,0,0,0,2
eBay UK Auctions,i9 tower,0,0,0,2
eBay UK Auctions,intel i7 cpu,0,0,0,2
eBay UK Auctions,lga1700 motherboard,0,0,0,2
eBay UK Auctions,motherboard bundle,0,0,0,2
eBay UK Auctions,motherboard cpu combo,0,0,0,1
eBay UK Auctions,msi gaming plus b650,0,0,0,2
eBay UK Auctions,nvme ssd,0,0,0,2
eBay UK Auctions,pc job lot,0,0,0,2
eBay UK Auctions,pc no display,0,0,0,2
eBay UK Auctions,pc power supply,0,0,0,2
eBay UK Auctions,pc spares or repair,0,0,0,2
eBay UK Auctions,pc tower,0,0,0,2
eBay UK Auctions,pc untested,0,0,0,2
eBay UK Auctions,proart am5,0,0,0,2
eBay UK Auctions,rtx 3060,0,0,0,2
eBay UK Auctions,ryzen 7 cpu,0,0,0,2
eBay UK Auctions,ryzen 7700,0,0,0,2
eBay UK Auctions,ryzen 7700x,0,0,0,2
eBay UK Auctions,ryzen 7900,0,0,0,2
eBay UK Auctions,ryzen 9700x,0,0,0,2
eBay UK Auctions,ryzen bundle,0,0,0,2
eBay UK Auctions,ryzen desktop,0,0,0,2
eBay UK Auctions,workstation joblot,0,0,0,2
eBay UK Auctions,xeon tower,0,0,0,2
i-bidder,Dell OptiPlex,46,0,0,2
i-bidder,HP EliteDesk,46,0,0,2
i-bidder,Lenovo ThinkCentre,46,0,0,2
i-bidder,computer tower,46,0,0,2
i-bidder,cpu bundle,46,0,0,2
i-bidder,ddr4 ram,46,0,0,2
