category,rank,asin,bestseller_title,bestseller_url,captured_at,audit_reason,marketplace_listing_id,marketplace_category,marketplace_cpk,marketplace_cpk_identity_category,marketplace_title
cooler,54,B079DQS77Q,"SYY Thermal Paste, 8g Upgrade Easy to Apply Thermal Compound Cpu Heatsink Paste for IC/Processor/CPU/All Coolers, Carbon Base",https://www.amazon.co.uk/SYY-Compound-Processor-Performance-Interface/dp/B079DQS77Q/ref=zg_bs_g_430499031_d_sccl_4/524-3698123-6031407,2026-09-25 11:38:26.332919,"Exact Amazon listing exists, but it has no durable CPK assignment",B079DQS77Q,,,,"SYY Thermal Paste, 8g Upgrade Easy to Apply Thermal Compound Cpu Heatsink Paste for IC/Processor/CPU/All Coolers, Carbon Based High Performance, Thermal Interface Material"
cooler,54,B079DQS77Q,"SYY Thermal Paste, 8g Upgrade Easy to Apply Thermal Compound Cpu Heatsink Paste for IC/Processor/CPU/All Coolers, Carbon Base",https://www.amazon.co.uk/SYY-Compound-Processor-Performance-Interface/dp/B079DQS77Q/ref=zg_bs_g_430499031_d_sccl_4/525-2893768-2677554,2026-09-25 12:57:51.160776,"Exact Amazon listing exists, but it has no durable CPK assignment",B079DQS77Q,,,,"SYY Thermal Paste, 8g Upgrade Easy to Apply Thermal Compound Cpu Heatsink Paste for IC/Processor/CPU/All Coolers, Carbon Based High Performance, Thermal Interface Material"
cooler,56,B0FZVBL8HK,"ARCTIC TP-4: Premium Performance Thermal Pad, 120 x 20 x 1.5 mm (4 Pack) | Stackable to 2.0 mm Without Performance Loss, High",https://www.amazon.co.uk/ARCTIC-TP-4-Thermal-Pad-Performance/dp/B0FZVBL8HK/ref=zg_bs_g_430499031_d_sccl_6/524-3698123-6031407,2026-09-25 11:38:26.332921,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,56,B0FZVBL8HK,"ARCTIC TP-4: Premium Performance Thermal Pad, 120 x 20 x 1.5 mm (4 Pack) | Stackable to 2.0 mm Without Performance Loss, High",https://www.amazon.co.uk/ARCTIC-TP-4-Thermal-Pad-Performance/dp/B0FZVBL8HK/ref=zg_bs_g_430499031_d_sccl_6/525-2893768-2677554,2026-09-25 12:57:51.160779,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,57,B071J8CZP9,"Noctua NF-A4x20 FLX, High-Performance Quiet Fan 40mm | High Airflow, Low Noise, 20mm Thick, for PC and Electronics Cooling, 3",https://www.amazon.co.uk/Noctua-NF-A4x20-FLX-Premium-40x20mm/dp/B071J8CZP9/ref=zg_bs_g_430499031_d_sccl_7/524-3698123-6031407,2026-09-25 11:38:26.332922,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,57,B071J8CZP9,"Noctua NF-A4x20 FLX, High-Performance Quiet Fan 40mm | High Airflow, Low Noise, 20mm Thick, for PC and Electronics Cooling, 3",https://www.amazon.co.uk/Noctua-NF-A4x20-FLX-Premium-40x20mm/dp/B071J8CZP9/ref=zg_bs_g_430499031_d_sccl_7/525-2893768-2677554,2026-09-25 12:57:51.160780,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,58,B0C1XD5RGK,Thermal Grizzly - Conductonaut extreme - 1 Gram - Ultra High Performance Liquid Metal Compound Thermal Paste - For Maximum Th,https://www.amazon.co.uk/Thermal-Grizzly-Conductonaut-EXTREME-Liquid-silver/dp/B0C1XD5RGK/ref=zg_bs_g_430499031_d_sccl_8/524-3698123-6031407,2026-09-25 11:38:26.332923,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,58,B0C1XD5RGK,Thermal Grizzly - Conductonaut extreme - 1 Gram - Ultra High Performance Liquid Metal Compound Thermal Paste - For Maximum Th,https://www.amazon.co.uk/Thermal-Grizzly-Conductonaut-EXTREME-Liquid-silver/dp/B0C1XD5RGK/ref=zg_bs_g_430499031_d_sccl_8/525-2893768-2677554,2026-09-25 12:57:51.160781,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,59,B0DQD79C21,"Thermal Grizzly TG Putty Pro 30 g Thermal Putty VRAM VRM PCB | Thermal putty, high-end thermal conductivity, pad replacement,",https://www.amazon.co.uk/Thermal-Grizzly-Putty-High-Performance-Non-Conductive/dp/B0DQD79C21/ref=zg_bs_g_430499031_d_sccl_9/524-3698123-6031407,2026-09-25 11:38:26.332924,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,59,B0DQD79C21,"Thermal Grizzly TG Putty Pro 30 g Thermal Putty VRAM VRM PCB | Thermal putty, high-end thermal conductivity, pad replacement,",https://www.amazon.co.uk/Thermal-Grizzly-Putty-High-Performance-Non-Conductive/dp/B0DQD79C21/ref=zg_bs_g_430499031_d_sccl_9/525-2893768-2677554,2026-09-25 12:57:51.160782,No exact ASIN listing found in current Amazon marketplace scores,,,,,
