category,rank,asin,title,cpk,price,rrp,rating,review_count,sales_velocity,url,captured_at
case,15,B0GXPRJ66H,"ANSAITE ATX Mid-Tower PC Gaming Case,High Airflow Computer Case,7 x 120mm Fans Included, 360mm Radiator Support,Cable Managem",f436fdb97779ed95,53.69,,4.7,4,,https://www.amazon.co.uk/ANSAITE-Mid-Tower-Computer-Management-Tool-Free-H09-black/dp/B0GXPRJ66H/ref=zg_bs_g_430498031_d_sccl_15/522-1500010-1872250,2026-09-25T16:02:01.344429
case,16,B0FK5KH5MY,"Lian Li O11 Dynamic Mini V2 PC Case Black | Compact ATX Mid Tower with Dual-Chamber Design, Tempered Glass and Modular Layout",d33933e9bbe26f5b,79.89,,4.7,254,,https://www.amazon.co.uk/Lian-Li-V2-Dual-Chamber-Tempered-black/dp/B0FK5KH5MY/ref=zg_bs_g_430498031_d_sccl_16/522-1500010-1872250,2026-09-25T16:02:01.344430
case,17,B0FLDVV2MR,"HYXN H1 ATX PC Case-Pre-Installed 7 PWM ARGB Fans, Dual Chamber Mid-Tower Gaming PC Case, with Type-C, Simultaneous Installat",9bc00f3573dd170d,79.99,,4.4,96,,https://www.amazon.co.uk/HYXN-Case-Pre-Installed-Mid-Tower-Simultaneous-Installation-Pink/dp/B0FLDVV2MR/ref=zg_bs_g_430498031_d_sccl_17/522-1500010-1872250,2026-09-25T16:02:01.344431
case,18,B0FJ2PYLFB,"CORSAIR FRAME 4500X RS-R ARGB Panoramic Glass Mid-Tower PC Case – InfiniRail Mounting System, Fits Dual 360mm Radiators, GPU",,74.99,,4.7,301,,https://www.amazon.co.uk/CORSAIR-FRAME-4500X-Panoramic-Mid-Tower/dp/B0FJ2PYLFB/ref=zg_bs_g_430498031_d_sccl_18/522-1500010-1872250,2026-09-25T16:02:01.344431
case,19,B09DKMQ5L1,Fractal Design Terra Graphite - Wood Walnut front panel - Small form factor - mITX gaming case – PCIe 4.0 riser cable – USB T,,169.99,,4.6,704,,https://www.amazon.co.uk/Fractal-Design-Terra-Graphite/dp/B09DKMQ5L1/ref=zg_bs_g_430498031_d_sccl_19/522-1500010-1872250,2026-09-25T16:02:01.344432
case,20,B0DFX1J2S5,"FOIFKIN F600 PC Case ATX with 7 PWM ARGB Fans, High Airflow Mid-Tower Computer Case, Gaming PC Case Big Tower, ATX Case Black",5a606713848c8df1,69.99,,4.3,189,,https://www.amazon.co.uk/FOIFKIN-Case-Pre-Installed-Mid-Tower-Type-C%EF%BC%8CF600-Black/dp/B0DFX1J2S5/ref=zg_bs_g_430498031_d_sccl_20/522-1500010-1872250,2026-09-25T16:02:01.344433
case,21,B0GSBW9HZT,"Phanteks EX5 Plus ATX Chamber Case, 360 AIO Included - Black | Compartmentalised ATX case with integrated 360mm AIO, hidden t",,114.95,,,,,https://www.amazon.co.uk/Phanteks-Plus-Chamber-Case-Included/dp/B0GSBW9HZT/ref=zg_bs_g_430498031_d_sccl_21/522-1500010-1872250,2026-09-25T16:02:01.344434
case,22,B0DBVSVWPC,"1st Player MIKU Mi2-A Micro ATX PC Gaming Case, Panoramic Tempered Glass + Mesh Hybrid Panel For Increased Airflow - Black",,33.99,,4.4,61,,https://www.amazon.co.uk/Player-MIKU-Mi2-Micro-Black/dp/B0DBVSVWPC/ref=zg_bs_g_430498031_d_sccl_22/522-1500010-1872250,2026-09-25T16:02:01.344434
case,23,B0G91PD5PS,"Lian Li VECTOR V100R MINI Micro-ATX Gaming PC Case – Black | Compact Tempered Glass Mini Tower with High Airflow, ATX PSU Sup",a67cb6ce61780985,66.99,,4.9,24,,https://www.amazon.co.uk/Lian-Li-VECTOR-Micro-ATX-Gaming-Black/dp/B0G91PD5PS/ref=zg_bs_g_430498031_d_sccl_23/522-1500010-1872250,2026-09-25T16:02:01.344435
case,24,B0DJT8SRD6,Lian Li O11 Vision Compact ATX Mid-Tower Gaming PC Case - Aluminium & Tempered Glass Black PC Case,18198bd5ac65faef,,,4.7,486,,https://www.amazon.co.uk/O11-Vision-Compact-Mid-Tower-Gaming-Black/dp/B0DJT8SRD6/ref=zg_bs_g_430498031_d_sccl_24/522-1500010-1872250,2026-09-25T16:02:01.344436
case,25,B0C59W6JKD,"AL01 Open Frame Computer case DIY PC Test Bench for ATX M-Board,1Pc | Open Air Design for Heat Dissipation Supports ATX Power",,18.99,,4.4,555,,https://www.amazon.co.uk/ALAMENGDA-Computer-Motherboards-Dissipation-Accessories-Black/dp/B0C59W6JKD/ref=zg_bs_g_430498031_d_sccl_25/522-1500010-1872250,2026-09-25T16:02:01.344436
case,26,B0H6PW5CPC,"Lian Li DAN Cases B4 Micro-ATX PC Case, Black | Black, 21.3L SFF chassis, 358mm 4-slot GPU support, ATX/SFX PSU, 360mm AIO wi",12428f9140988145,59.9,,4.0,2,,https://www.amazon.co.uk/Lian-Cases-Micro-ATX-Case-Black/dp/B0H6PW5CPC/ref=zg_bs_g_430498031_d_sccl_26/522-1500010-1872250,2026-09-25T16:02:01.344437
case,27,B0BM4W1MRW,iONZ Gaming PC Computer Mini Tower Case M/ATX Tempered Glass - Performance Series. (KZ27 Inc 4 RGB Fans),,36.95,,4.4,75,,https://www.amazon.co.uk/iONZ-Gaming-Tower-Tempered-Glass-KZ27-Inc-3-FRGB-Fans/dp/B0BM4W1MRW/ref=zg_bs_g_430498031_d_sccl_27/522-1500010-1872250,2026-09-25T16:02:01.344438
case,28,B0GGQM3Q3D,"HYXN H3 ATX PC Case - Pre-Installed with 6 Infinity Mirror PWM ARGB Fans - Compact Dual Cavity Mid-Tower Gaming PC Case,360mm",9bc00f3573dd170d,69.99,,4.4,29,,https://www.amazon.co.uk/HYXN-ATX-Case-Pre-Installed-Mid-Tower-Black/dp/B0GGQM3Q3D/ref=zg_bs_g_430498031_d_sccl_28/522-1500010-1872250,2026-09-25T16:02:01.344438
case,29,B093S1H4G2,"Montech AIR 100 ARGB, Micro-ATX, Tempered Glass - schwarz",,44.04,,4.6,684,,https://www.amazon.co.uk/AIR-100-ARGB-Pre-Installed-Circulation/dp/B093S1H4G2/ref=zg_bs_g_430498031_d_sccl_29/522-1500010-1872250,2026-09-25T16:02:01.344439
